                      %P                     obs                       s                guesserr                   error     directory
              0.45025457               2692.4143               18.696901           2.8281829e-10           1.7347488e-18   search-186/
              0.45141357               2706.2638               18.796899            2.787889e-10           3.5499903e-16   search-187/
              0.45256963               2720.1138               18.896897           2.7483605e-10           3.4370903e-16   search-188/
              0.45372278               2733.9644               18.996895           2.7096039e-10           3.5711869e-16   search-189/
              0.45487304               2747.8153               19.096893           2.6715659e-10           2.3406316e-18   search-190/
              0.45602043               2761.6668               19.196892           2.6342697e-10           2.8890479e-18   search-191/
              0.45716497               2775.5187                19.29689           2.5976623e-10           1.0982754e-17   search-192/
              0.45830669                2789.371               19.396888           2.5617454e-10           4.2527448e-18   search-193/
              0.45944561               2803.2238               19.496886           2.5265155e-10           1.5704975e-17   search-194/
              0.46058173               2817.0771               19.596884           2.4919092e-10           2.5261834e-18   search-195/
               0.4617151               2830.9308               19.696882           2.4579855e-10           1.7471729e-17   search-196/
              0.46284572               2844.7849               19.796881           2.4246389e-10           1.5658777e-17   search-197/
              0.46397361               2858.6395               19.896879           2.3919378e-10           2.1946862e-18   search-198/
               0.4650988               2872.4945               19.996877           2.3598356e-10            3.360159e-16   search-199/
               0.4662213                 2886.35               20.096875           2.3282855e-10           2.2912844e-18   search-200/
              0.46734113               2900.2058               20.196874           2.2973334e-10           3.6241141e-18   search-201/
              0.46845832               2914.0621               20.296872           2.2669215e-10           2.3336482e-18   search-202/
              0.46957288               2927.9188                20.39687           2.2370671e-10           1.1047678e-18   search-203/
              0.47068482               2941.7758               20.496869            2.207736e-10           3.0450413e-18   search-204/
              0.47179418               2955.6333               20.596867           2.1789254e-10           4.0381423e-18   search-205/
              0.47290095               2969.4913               20.696865           2.1506253e-10           3.3656141e-16   search-206/
              0.47400517               2983.3496               20.796864           2.1228235e-10           4.4433892e-18   search-207/
              0.47510685               2997.2082               20.896862           2.0955018e-10           1.3495251e-17   search-208/
              0.47620601               3011.0673               20.996861           2.0686568e-10           2.5258145e-18   search-209/
              0.47730266               3024.9268               21.096859           2.0422947e-10           1.7097324e-18   search-210/
              0.47839682               3038.7867               21.196858           2.0163606e-10           2.0819732e-18   search-211/
              0.47948852               3052.6469               21.296856           1.9908823e-10            7.154096e-19   search-212/
              0.48057775               3066.5075               21.396855           1.9658449e-10           3.3821967e-16   search-213/
              0.48166455               3080.3685               21.496853           1.9412334e-10           4.6164849e-18   search-214/
              0.48274893               3094.2299               21.596852           1.9170286e-10           1.1519914e-17   search-215/
               0.4838309               3108.0916                21.69685           1.8932309e-10           2.1943342e-18   search-216/
              0.48491048               3121.9537               21.796849           1.8698601e-10            3.282713e-16   search-217/
              0.48598768               3135.8162               21.896847           1.8468432e-10           1.0412638e-18   search-218/
              0.48706252                3149.679               21.996846           1.8242349e-10           8.8964339e-18   search-219/
              0.48813503               3163.5421               22.096844           1.8019802e-10           7.8061294e-19   search-220/
               0.4892052               3177.4057               22.196843           1.7801192e-10           2.1271687e-18   search-221/
              0.49027306               3191.2695               22.296841           1.7586012e-10           1.0085383e-17   search-222/
              0.49133862               3205.1337                22.39684           1.7374199e-10           3.1570861e-18   search-223/
              0.49240189               3218.9983               22.496839           1.7166216e-10           3.2426659e-16   search-224/
               0.4934629               3232.8632               22.596837            1.696126e-10           8.7338777e-19   search-225/
              0.49452165               3246.7284               22.696836           1.6759847e-10           1.2354894e-17   search-226/
              0.49557816                3260.594               22.796835           1.6561411e-10           3.1140197e-18   search-227/
              0.49663245               3274.4599               22.896833           1.6366504e-10           1.0430054e-17   search-228/
              0.49768452               3288.3261               22.996832           1.6174348e-10           3.4876562e-18   search-229/
              0.49873439               3302.1927               23.096831           1.5985527e-10           1.7697583e-18   search-230/
              0.49978208               3316.0595               23.196829           1.5799503e-10           4.6177974e-16   search-231/
              0.50082759               3329.9267               23.296828           1.5616573e-10           1.1617866e-17   search-232/
              0.50187095               3343.7943               23.396827           1.5436202e-10           2.2270357e-18   search-233/
              0.50291216               3357.6621               23.496825           1.5259085e-10           1.3369874e-18   search-234/
              0.50395124               3371.5302               23.596824           1.5084407e-10           3.1421185e-16   search-235/
               0.5049882               3385.3987               23.696823           1.4912505e-10           2.2693824e-18   search-236/
              0.50602305               3399.2674               23.796822           1.4743345e-10           1.1804548e-17   search-237/
              0.50705582               3413.1365                23.89682           1.4576529e-10           2.0818514e-18   search-238/
               0.5080865               3427.0059               23.996819           1.4412727e-10           3.5732996e-18   search-239/
              0.50911511               3440.8755               24.096818           1.4250945e-10           3.1409872e-16   search-240/
              0.51014166               3454.7455               24.196817           1.4091869e-10           1.0993343e-18   search-241/
              0.51116618               3468.6157               24.296816           1.3935139e-10           3.5311581e-18   search-242/
              0.51218866               3482.4863               24.396814            1.378077e-10           3.2359973e-16   search-243/
