      #(P)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
0.0546838        8.9535       1.98665             0       8.73031       8.64772       76.2184       1.64619      0.878851       16.2279       2.75903      -13.4689       1710.52
0.0510016       9.02339       2.00211   7.16646e-19       8.79847         8.715       77.4131       1.65899      0.890168       16.3095       2.74357      -13.5659       1737.11
0.0472669       9.08741       2.01626   7.16646e-19       8.86091       8.77659       78.5157       1.67072      0.901269       16.3768       2.72343      -13.6534       1761.61
0.0434847       9.14551       2.02909             0       8.91757       8.83242       79.5231       1.68135      0.912216       16.4293       2.69804      -13.7312       1783.95
0.0396601       9.19762       2.04058             0        8.9684       8.88244       80.4322       1.69087      0.923105       16.4657       2.66658      -13.7991       1804.05
0.0357987        9.2437       2.05072             0       9.01335        8.9266       81.2406       1.69927       0.93409       16.4845       2.62783      -13.8567       1821.86
0.0319064       9.28373       2.05951             0       9.05241       8.96484       81.9461       1.70655      0.945436        16.483       2.57966      -13.9034        1837.3
0.0279855       9.31774       2.06693             0       9.08559       8.99717        82.548       1.71271       0.95769       16.4561       2.51783      -13.9383       1850.34
0.0255271       9.33593       2.07088             0       9.10336       9.01434       82.8711       1.71597      0.966343       16.4212       2.46808      -13.9531       1857.23
0.023482       9.34932       2.07375             0       9.11643       9.02683       83.1093       1.71835      0.974819       16.3751       2.41484      -13.9602        1862.2
0.0219175       9.35859        2.0757             0        9.1255       9.03532       83.2748       1.71997      0.983165       16.3192       2.35853      -13.9607       1865.53
0.0209974       9.36383       2.07676             0       9.13063       9.03995       83.3684       1.72085      0.990352       16.2638       2.30742      -13.9564       1867.28
0.0205001       9.36709       2.07737             0       9.13383       9.04259       83.4269       1.72135      0.998549       16.1937       2.24669       -13.947       1868.18
