                      %P                     obs                       s                guesserr                   error     directory
              0.18709739               472.48904                   17.71            7.636358e-11           3.9803653e-12   search-176/
              0.18809738               477.49855                   17.81           8.6866013e-11           8.1609507e-12   search-177/
              0.18909737               482.53472                   17.91           1.6597289e-10           2.9054545e-12   search-178/
              0.19009736               487.59756                   18.01           2.2337376e-10           5.5225113e-12   search-179/
              0.19109735               492.68707                   18.11           2.3109494e-10           4.7228329e-12   search-180/
              0.19209734               497.80324                   18.21            3.650999e-10           1.3069596e-12   search-181/
              0.19309733               502.94608                   18.31           3.8245887e-10           5.5947641e-12   search-182/
              0.19359732               505.52749                   18.36           1.3411684e-10           7.5810741e-12   search-184/
              0.19459731               510.71033                   18.46           3.8080774e-10           2.8245761e-12   search-185/
               0.1955973               515.91982                   18.56           4.2702826e-10           6.6594666e-12   search-186/
              0.19659729               521.15599                   18.66           6.3653012e-10           9.5961223e-12   search-187/
              0.19759728               526.41881                   18.76           6.3311946e-10           2.7332187e-12   search-188/
              0.19859727               531.70831                   18.86           7.6866221e-10           3.3050919e-12   search-189/
              0.19959726               537.02446                   18.96           8.1269578e-10           4.1758453e-12   search-190/
              0.20059725               542.36729                   19.06           8.5049037e-10           3.6058647e-12   search-191/
              0.20159724               547.73677                   19.16           9.0039918e-10           4.2469253e-12   search-192/
              0.20259723               553.13293                   19.26           9.7219518e-10             3.46655e-12   search-193/
              0.20359722               558.55574                   19.36           1.0143185e-09           5.9185719e-13   search-194/
              0.20459721               564.00523                   19.46           1.0527491e-09           2.4115936e-12   search-195/
               0.2055972               569.48137                   19.56           1.0716578e-09           5.3841002e-12   search-196/
              0.20659719               574.98418                   19.66           1.1064574e-09           6.4281484e-12   search-197/
              0.20759718               580.51366                   19.76           1.1549169e-09           1.2926506e-12   search-198/
              0.20859717                586.0698                   19.86           1.1077328e-09           3.7408692e-12   search-199/
              0.20959716                591.6526                   19.96           1.1330679e-09           5.3119784e-12   search-200/
              0.21059715               597.26207                   20.06           1.1556117e-09           8.3836065e-12   search-201/
              0.21159714               602.89821                   20.16           1.1638315e-09           8.0218136e-12   search-202/
              0.21259713                 608.561                   20.26           1.1038632e-09           1.8211514e-12   search-203/
              0.21359712               614.25047                   20.36            1.109443e-09           4.7542653e-12   search-204/
              0.21459711               619.96659                   20.46           1.0888921e-09           6.6899335e-12   search-205/
               0.2155971               625.70938                   20.56           1.0808178e-09           5.1356298e-12   search-206/
              0.21659709               631.47884                   20.66            9.523665e-10           3.8548051e-12   search-207/
              0.21759708               637.27495                   20.76           1.0132076e-09           4.4438441e-12   search-208/
              0.21859708               643.09774                   20.86           9.1483846e-10           5.6770139e-12   search-209/
              0.21959707               648.94718                   20.96           8.8888024e-10            4.921314e-12   search-210/
              0.22059706               654.82329                   21.06           7.6954817e-10           6.5152514e-12   search-211/
              0.22159705               660.72607                   21.16           7.9401085e-10           5.3816063e-12   search-212/
              0.22259704                666.6555                   21.26           6.6061793e-10           6.1148786e-12   search-213/
              0.22359703               672.61161                   21.36           6.5881135e-10           7.4712749e-12   search-214/
              0.22459702               678.59437                   21.46           5.5976438e-10            9.309495e-12   search-215/
              0.22559701                684.6038                   21.56           5.3553976e-10           9.6424789e-12   search-216/
                0.226597               690.63989                   21.66           4.6472326e-10            6.181077e-12   search-217/
              0.22759699               696.70265                   21.76           3.8198972e-10           9.9367727e-12   search-218/
              0.22859698               702.79207                   21.86           3.6343369e-10           1.9282307e-13   search-219/
              0.22959697               708.90815                   21.96            2.896382e-10           8.1960598e-12   search-220/
              0.23059696                715.0509                   22.06           2.5613368e-10           7.3056009e-12   search-221/
              0.23159696               721.22031                   22.16           2.6072883e-10            4.008678e-12   search-222/
              0.23259695               727.41638                   22.26           2.3433656e-10           5.8962904e-13   search-223/
              0.23359694               733.63912                   22.36           2.4433704e-10           8.1026689e-12   search-224/
              0.23459693               739.88852                   22.46           2.5173334e-10           3.3174713e-12   search-225/
              0.23559692               746.16458                   22.56           3.3200107e-10           4.5206927e-13   search-226/
              0.23659691               752.46731                   22.66           3.2375777e-10           5.1525028e-12   search-227/
               0.2375969                758.7967                   22.76           3.3896019e-10           1.1328531e-12   search-228/
              0.23859689               765.15276                   22.86           4.0961179e-10           5.5823332e-12   search-229/
              0.23959688               771.53548                   22.96           4.4660601e-10           3.8881831e-12   search-230/
              0.24059688               777.94486                   23.06           4.8561509e-10           7.6038798e-12   search-231/
              0.24159687                784.3809                   23.16            4.926271e-10           4.2444377e-12   search-232/
              0.24259686               790.84361                   23.26           5.6620787e-10           6.3830682e-13   search-233/
              0.24359685               797.33298                   23.36           5.8835503e-10           6.5859428e-12   search-234/
              0.24459684               803.84902                   23.46            6.178499e-10           4.6002875e-12   search-235/
              0.24559683               810.39172                   23.56           6.0458203e-10           5.7818125e-12   search-236/
              0.24659682               816.96108                   23.66           6.6989874e-10           9.1212922e-12   search-237/
              0.24759682               823.55711                   23.76           6.5400548e-10           2.4741282e-12   search-238/
              0.24859681                830.1798                   23.86           7.1388366e-10           8.9958141e-12   search-239/
               0.2495968               836.82915                   23.96           7.4223332e-10             7.72255e-12   search-240/
              0.25059679               843.50517                   24.06           7.3564206e-10           9.3627292e-12   search-241/
              0.25159678               850.20785                   24.16           6.7423714e-10           6.0263499e-12   search-242/
              0.25259677                856.9372                   24.26           7.9105472e-10           5.5053908e-12   search-243/
              0.25309677               860.31187                   24.31           2.4059152e-10           1.0525269e-12   search-245/
              0.25409676               867.08121                   24.41           4.8397591e-10           9.3120526e-12   search-246/
              0.25509675               873.87722                   24.51           6.4375563e-10           9.6899238e-12   search-247/
              0.25609674               880.69989                   24.61            7.962726e-10            1.092603e-12   search-248/
              0.25709673               887.54922                   24.71           7.3899296e-10           8.3470058e-12   search-249/
              0.25809672               894.42521                   24.81            7.834045e-10           6.0453707e-12   search-250/
              0.25909671               901.32787                   24.91           8.0487557e-10           7.7415281e-12   search-251/
              0.26009671                908.2572                   25.01           7.7754973e-10           6.4282792e-12   search-252/
               0.2610967               915.21319                   25.11           7.9539074e-10           5.3020699e-12   search-253/
              0.26209669               922.19584                   25.21           8.0233913e-10           5.9527556e-12   search-254/
              0.26309668               929.20516                   25.31            8.032345e-10           3.3784944e-12   search-255/
              0.26409667               936.24114                   25.41           8.2688623e-10           6.1848786e-12   search-256/
              0.26509666               943.30378                   25.51           8.2451982e-10           7.0606532e-12   search-257/
              0.26609665               950.39309                   25.61           8.4315501e-10           2.7604625e-12   search-258/
              0.26709664               957.50906                   25.71           8.9967719e-10           8.5987679e-12   search-259/
              0.26809663                964.6517                   25.81           9.1674827e-10           4.6870944e-13   search-260/
              0.26909662                 971.821                   25.91           9.2589357e-10           9.0336942e-12   search-261/
              0.27009662               979.01696                   26.01           1.0039895e-09           2.8512484e-12   search-262/
              0.27109661               986.23959                   26.11           1.0436325e-09           4.0788896e-13   search-263/
               0.2720966               993.48889                   26.21           1.0962236e-09           4.2942778e-12   search-264/
              0.27309659               1000.7648                   26.31           1.1850927e-09           4.6949201e-12   search-265/
              0.27409658               1008.0675                   26.41           1.2589492e-09            1.752745e-12   search-266/
              0.27509657               1015.3968                   26.51           1.3701607e-09            2.381108e-12   search-267/
              0.27609656               1022.7527                   26.61            1.481628e-09           3.8454314e-12   search-268/
              0.27709655               1030.1353                   26.71           1.6202825e-09           3.5780689e-12   search-269/
              0.27809654               1037.5446                   26.81           1.7775209e-09           1.5054243e-12   search-270/
              0.27909653               1044.9805                   26.91           1.9633575e-09            2.940657e-12   search-271/
              0.28009652               1052.4431                   27.01           2.1749536e-09            4.452366e-12   search-272/
              0.28109651               1059.9324                   27.11           2.4232772e-09           3.4395923e-12   search-273/
               0.2820965               1067.4484                   27.21           2.7138706e-09           4.2843332e-12   search-274/
              0.28309649                1074.991                   27.31            3.057999e-09           2.2661115e-12   search-275/
              0.28409648               1082.5602                   27.41           3.4605096e-09           6.8292676e-12   search-276/
              0.28509647               1090.1562                   27.51           3.9657385e-09           2.4386749e-12   search-277/
              0.28609646               1097.7788                   27.61           4.5515889e-09           6.7053998e-12   search-278/
              0.28709645                1105.428                   27.71           5.2664108e-09           7.5014924e-12   search-279/
              0.28809644               1113.1039                   27.81           6.1613246e-09           6.5063758e-12   search-280/
              0.28909643               1120.8065                   27.91           7.2861271e-09           2.4052422e-12   search-281/
              0.29009641               1128.5358                   28.01           8.6890848e-09           7.4809762e-12   search-282/
               0.2910964               1136.2917                   28.11            1.052141e-08           6.3694952e-13   search-283/
              0.29209639               1144.0743                   28.21           1.2930785e-08            1.770987e-13   search-284/
              0.29309638               1151.8836                   28.31           1.6194439e-08           3.1797445e-12   search-285/
              0.29409636               1159.7195                   28.41            2.072167e-08           1.5750958e-12   search-286/
              0.29509635               1167.5821                   28.51           2.7208647e-08           5.9854659e-12   search-287/
              0.29609633               1175.4713                   28.61           3.6979825e-08           1.9340153e-12   search-288/
              0.29709632               1183.3872                   28.71           5.2402744e-08           2.9067977e-12   search-289/
               0.2980963               1191.3298                   28.81           7.8663809e-08            4.937081e-12   search-290/
              0.29909628               1199.2991                   28.91           1.2796449e-07           3.5654051e-12   search-291/
              0.30009625                1207.295                   29.01           2.3545057e-07             5.28232e-12   search-292/
